"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"279";0,95;50;20;4;0,5;0,37348;0,36935;0,41316;0,45406
"280";0,95;50;20;4;0,25;0,34293;0,34133;0,48301;0,49649
"281";0,95;50;50;0;10;0,88318;0,88318;0,88551;0,88551
"282";0,95;50;50;0;4;0,89444;0,89444;0,89583;0,89583
"283";0,95;50;50;0;2;0,92629;0,92629;0,92694;0,92694
"284";0,95;50;50;0;1;0,95844;0,95844;0,95989;0,95989
"285";0,95;50;50;0;0,1;0,88169;0,88169;0,88395;0,88395
"286";0,95;50;50;0;0,5;0,92673;0,92673;0,9275;0,9275
"287";0,95;50;50;0;0,25;0,89455;0,89455;0,89626;0,89626
"288";0,95;50;50;1;10;0,62486;0,61772;0,68067;0,68067
"289";0,95;50;50;1;4;0,672;0,66454;0,71205;0,71205
"290";0,95;50;50;1;2;0,72392;0,71842;0,743;0,743
"291";0,95;50;50;1;1;0,70484;0,70181;0,71114;0,71114
"292";0,95;50;50;1;0,1;0,8232;0,82275;0,82806;0,82806
"293";0,95;50;50;1;0,5;0,68526;0,68346;0,68995;0,68995
"294";0,95;50;50;1;0,25;0,74534;0,74449;0,75109;0,75109
"295";0,95;50;50;2;10;0,39045;0,38652;0,4748;0,4748
"296";0,95;50;50;2;4;0,41989;0,41509;0,48803;0,48803
"297";0,95;50;50;2;2;0,48481;0,47989;0,52174;0,52174
"298";0,95;50;50;2;1;0,51577;0,51174;0,53081;0,53081
"299";0,95;50;50;2;0,1;0,75841;0,75755;0,76572;0,76572
"300";0,95;50;50;2;0,5;0,51537;0,51336;0,53045;0,53045
"301";0,95;50;50;2;0,25;0,60295;0,60252;0,61566;0,61566
"302";0,95;50;50;3;10;0,32738;0,3241;0,42223;0,42223
"303";0,95;50;50;3;4;0,34842;0,34424;0,4261;0,4261
"304";0,95;50;50;3;2;0,40187;0,39756;0,44673;0,44673
"305";0,95;50;50;3;1;0,43542;0,43174;0,45529;0,45529
"306";0,95;50;50;3;0,1;0,68982;0,68955;0,70034;0,70034
"307";0,95;50;50;3;0,5;0,43257;0,43022;0,45705;0,45705
"308";0,95;50;50;3;0,25;0,50869;0,50751;0,52943;0,52943
"309";0,95;50;50;4;10;0,30111;0,29824;0,39978;0,39978
"310";0,95;50;50;4;4;0,31838;0,3143;0,40019;0,40019
"311";0,95;50;50;4;2;0,36782;0,36414;0,41622;0,41622
"312";0,95;50;50;4;1;0,39815;0,39405;0,42173;0,42173
"313";0,95;50;50;4;0,1;0,63117;0,63068;0,64486;0,64486
"314";0,95;50;50;4;0,5;0,38323;0,38129;0,41408;0,41408
"315";0,95;50;50;4;0,25;0,44325;0,44233;0,4735;0,4735
