"Confidence.level";"n1";"n2";"m1-m2";"sd1/sd2";"Cohen_SCP";"Hedges_SCP";"Shieh_SCP";"transfoshieh_SCP"
"306";0,95;20;50;3;0,1;0,99527;0,99513;0,93951;0,93901
"307";0,95;20;50;3;0,5;0,90714;0,90421;0,86251;0,86389
"308";0,95;20;50;3;0,25;0,97435;0,97316;0,90604;0,89917
"309";0,95;20;50;4;10;0,51621;0,50709;0,81338;0,81632
"310";0,95;20;50;4;4;0,57299;0,56343;0,8065;0,82283
"311";0,95;20;50;4;2;0,69412;0,68442;0,79915;0,8463
"312";0,95;20;50;4;1;0,79388;0,78614;0,7993;0,85776
"313";0,95;20;50;4;0,1;0,99305;0,99281;0,92987;0,92905
"314";0,95;20;50;4;0,5;0,86933;0,86492;0,83641;0,83882
"315";0,95;20;50;4;0,25;0,95367;0,95166;0,88129;0,87144
