"n1";"n2";"m1";"m2";"var1";"var2";"skew";"kurt";"Average_m1";"Stdev_m1";"Average_m2";"Stdev_m2";"Average_var1";"Stdev_var1";"Average_var2";"Stdev_var2";"Average_skew1";"Stdev_skew1";"Average_skew2";"Stdev_skew2";"Average_kurt1";"Stdev_kurt1";"Average_kurt2";"Stdev_kurt2"
"67";100;20;4;0;1;1;6,32;95,75;4,00018753881756;0,100404011410712;0,000341558867290249;0,22304863660764;1,0012029683716;0,958139043318023;0,99881467339301;1,88009040196223;18,5626559598899;14,102349560784;6,76761187152527;5,12240089125306;3,75217170123027;1,2652686764735;2,46755141385415;0,839693458846031
"68";100;20;4;0;1;100;6,32;95,75;4,00001479480189;0,0999672248530242;0,00164453446267093;2,24503742915274;1,00118990968793;0,976552188388446;100,400925420062;193,401619361935;18,5768278142595;14,1064717093548;6,758993878256;5,11871761314227;3,75286103299903;1,2661510698421;2,46669645714777;0,838453933718896
"69";100;20;4;0;1;4;6,32;95,75;4,00017946703175;0,100087745567792;0,000987274799003697;0,451023099250867;0,999269506419826;0,995276380332527;4,05480489557099;8,20948125907725;18,6206078948043;14,1771136369038;6,77362804629701;5,13793121047144;3,75624264900373;1,27031842830329;2,4682776180947;0,841948883545529
"70";100;20;4;0;1;16;6,32;95,75;3,99977972777823;0,0998129672690249;0,000663989782893414;0,89303128183959;0,999848419039905;0,935065735010753;16,042842182767;31,82986511489;18,6412962465783;14,1988899412954;6,78592258089664;5,13310216733094;3,75873915639604;1,27305096662887;2,47025684807398;0,841184254462362
"71";100;50;0;0;1;0,01;6,32;95,75;-0,000366149312005893;0,0997542774443903;-1,75553990660158e-05;0,0141154953241129;1,00100709018647;0,96796083572021;0,00998236845040597;0,0121830654244836;18,6212512829622;14,198679977876;12,5697492388361;9,17340353372097;3,75605692868687;1,27276145680101;3,20043401050463;1,06608204829704
"72";100;50;0;0;1;0,0625;6,32;95,75;-2,7413914512384e-05;0,10021869242968;6,70300886476054e-05;0,0354878968986462;1,00167839020903;0,917301942545779;0,0627560545496256;0,0796923354312414;18,6190054395402;14,2166053723411;12,5928442232264;9,15505198114813;3,75611010440437;1,2731913460406;3,20368451368324;1,06379492840481
"73";100;50;0;0;1;0,25;6,32;95,75;-0,000538958630139299;0,0996230068519055;0,00040268048680718;0,0711729358100568;0,992078586560137;0,880134397345775;0,253310886906874;0,591182967232835;18,5257034905408;14,0735522582105;12,5870265917137;9,16212965636999;3,7473618505813;1,26487470957165;3,2026801985964;1,06508446305391
"74";100;50;0;0;1;1;6,32;95,75;0,000329015532069561;0,0999862998661275;5,96435661157858e-05;0,141003771115504;1,00172233664835;0,946352370919991;1,00269281470856;1,36502035780297;18,6846257033216;14,2388288226155;12,5680918847591;9,19453609573021;3,76147255143432;1,27639987713559;3,19992752997307;1,06803458587944
"75";100;50;0;0;1;100;6,32;95,75;-8,67838104144428e-05;0,100307044197003;0,00141739102981047;1,42025172944997;0,996717423231065;0,869330019959748;99,8698465812653;133,424157243546;18,6459895656745;14,1762048635846;12,5140652710449;9,10980028536208;3,75852378772334;1,27185051258611;3,19409410201848;1,06008045667804
"76";100;50;0;0;1;4;6,32;95,75;-0,000196125876662301;0,100064824966607;0,0008063048261034;0,283513958910982;1,00087469587034;0,956841957372188;4,03081285743599;6,15481169920615;18,6612287166903;14,1940163229396;12,569895903797;9,17631217601291;3,76000077746529;1,27296191907756;3,2000539530973;1,06627190213755
